exact_date,stop_name,arrival_time,departure_time,trip_headsign,trip_id
2026-05-01,Kolding Busterminal,09:47:00,09:49:00,Vejle,158216037
2026-05-01,Kolding Busterminal,09:53:00,09:55:00,Vejle Trafikcenter,158206883
2026-05-01,Mazantigade v Kolding Busterminal,09:56:00,09:58:00,Albuen 40 (Kolding),158210061
2026-05-01,Mazantigade v Kolding Busterminal,09:59:00,09:59:00,Mazantigade v Kolding Busterminal,158214692
2026-05-01,Mazantigade v Kolding Busterminal,10:00:00,10:00:00,Knud Hansens Vej (Kolding),158212533
2026-05-01,Mazantigade v Kolding Busterminal,10:00:00,10:00:00,Drejensvej v Agerøvej (Kolding),158213743
2026-05-01,Mazantigade v Kolding Busterminal,10:01:00,10:01:00,Nørregyde v Julivænget (Kolding),158212393
2026-05-01,Mazantigade v Kolding Busterminal,10:02:00,10:02:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213771
2026-05-01,Kolding Busterminal,10:02:00,10:02:00,Kolding Busterminal,158215172
2026-05-01,Mazantigade v Kolding Busterminal,10:01:00,10:03:00,Højhusene (Kolding),158209928
2026-05-01,Mazantigade v Kolding Busterminal,10:03:00,10:03:00,Knud Hansens Vej (Kolding),158214800
2026-05-01,Kolding Busterminal,10:05:00,10:05:00,Haderslev Busstation,158208174
2026-05-01,Mazantigade v Kolding Busterminal,10:08:00,10:08:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212796
2026-05-01,Mazantigade v Kolding Busterminal,10:09:00,10:09:00,Munkevænget v Munkevængets Skole,158212859
2026-05-01,Kolding Busterminal,10:11:00,10:11:00,Kolding Busterminal,158206798
2026-05-01,Mazantigade v Kolding Busterminal,10:11:00,10:13:00,Albuen 40 (Kolding),158210058
2026-05-01,Mazantigade v Kolding Busterminal,10:15:00,10:15:00,Knud Hansens Vej (Kolding),158212526
2026-05-01,Mazantigade v Kolding Busterminal,10:13:00,10:15:00,Knud Hansens Vej (Kolding),158214800
2026-05-01,Mazantigade v Kolding Busterminal,10:16:00,10:16:00,Nørregyde v Julivænget (Kolding),158212382
2026-05-01,Mazantigade v Kolding Busterminal,10:16:00,10:18:00,Højhusene (Kolding),158209918
2026-05-01,Kolding Busterminal,10:20:00,10:20:00,Bramdrupdam,158215226
2026-05-01,Kolding Busterminal,10:24:00,10:24:00,Kolding Busterminal,158211272
2026-05-01,Mazantigade v Kolding Busterminal,10:26:00,10:28:00,Albuen 40 (Kolding),158210091
2026-05-01,Mazantigade v Kolding Busterminal,10:29:00,10:29:00,Mazantigade v Kolding Busterminal,158214657
2026-05-01,Mazantigade v Kolding Busterminal,10:30:00,10:30:00,Knud Hansens Vej (Kolding),158212507
2026-05-01,Kolding Busterminal,10:30:00,10:30:00,Nordager v Vejlevej (Kolding),158206807
2026-05-01,Mazantigade v Kolding Busterminal,10:30:00,10:30:00,Drejensvej v Agerøvej (Kolding),158213736
2026-05-01,Mazantigade v Kolding Busterminal,10:31:00,10:31:00,Nørregyde v Julivænget (Kolding),158212403
2026-05-01,Mazantigade v Kolding Busterminal,10:32:00,10:32:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213768
