event_category,event_start,event_end,event_datetime,Time,Event URL
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19692253
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19727795
Tegnefilm/Animation,2026-05-02,2026-05-02,2026-05-02 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19910512
Action/Drama,2026-05-02,2026-05-02,2026-05-02 10:45:00,10.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906534
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628650
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628786
Foredrag,2026-05-02,2026-05-02,2026-05-02 11:30:00,11:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19653339
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628631
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 11:30:00,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628688
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 12:45:00,12.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19889688
Komedie/Romantik,2026-05-02,2026-05-02,2026-05-02 12:30:00,12.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19756980
Action/Drama,2026-05-02,2026-05-02,2026-05-02 13:30:00,13.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890575
Tegnefilm/Animation,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890584
Omvisning,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19701709
Andre Film,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19733509
Tegnefilm/Animation,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19768791
Show/stand up,2026-05-02,2026-05-02,2026-05-02 19:30:00,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18715004
Action/Drama,2026-05-02,2026-05-02,2026-05-02 15:20:00,15.20,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888240
Komedie/Romantik,2026-05-02,2026-05-02,2026-05-02 15:40:00,15.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19871750
Action/Drama,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890653
Action/Drama,2026-05-02,2026-05-02,2026-05-02 16:30:00,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890816
Andre Film,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890571
Action/Drama,2026-05-02,2026-05-02,2026-05-02 21:10:00,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907212
Thriller/Gyser,2026-05-02,2026-05-02,2026-05-02 21:10:00,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907329
