group,hour,mean,std,n,upper,lower
weekday_special,16,0.27011666810841356,0.07532890128768638,15,0.4207744706837863,0.1194588655330408
weekday_special,17,0.26838308445451603,0.04763358534954665,15,0.3636502551536093,0.17311591375542273
weekday_special,18,0.26879770511755513,0.042766936057393894,15,0.35433157723234293,0.18326383300276733
weekday_special,19,0.26071299959837435,0.05028724634344024,15,0.3612874922852548,0.16013850691149387
weekday_special,20,0.2527010797877049,0.054117563022521686,15,0.36093620583274827,0.14446595374266152
weekday_special,21,0.2387293293092548,0.05393302904427105,15,0.34659538739779694,0.1308632712207127
weekday_special,22,0.22260617168904945,0.04350735904012604,15,0.3096208897693015,0.13559145360879737
weekday_special,23,0.2110388555382698,0.04338690856090911,15,0.29781267266008804,0.12426503841645156
weekend_regular,0,0.16973399301218514,0.014370541049957334,15,0.1984750751120998,0.14099291091227048
weekend_regular,1,0.1904135139808171,0.03018013109327193,15,0.25077377616736096,0.13005325179427324
weekend_regular,2,0.206098698260924,0.04121488331221921,15,0.28852846488536243,0.12366893163648558
weekend_regular,3,0.21863461790820482,0.04634886942471495,15,0.3113323567576347,0.12593687905877493
weekend_regular,4,0.21314613481994757,0.03978132044037199,15,0.29270877570069154,0.1335834939392036
weekend_regular,5,0.21369807467518984,0.04007237035645532,15,0.2938428153881005,0.1335533339622792
weekend_regular,6,0.22454307878515892,0.04685371983389046,15,0.31825051845293983,0.130835639117378
weekend_regular,7,0.24574289535133226,0.06224632633930244,15,0.37023554802993713,0.12125024267272738
weekend_regular,8,0.25755419095538024,0.0691133677779692,15,0.39578092651131863,0.11932745539944184
weekend_regular,9,0.2705391667011266,0.05542569627395348,15,0.38139055924903353,0.15968777415321964
weekend_regular,10,0.2727912065801564,0.05313430483120458,15,0.3790598162425655,0.16652259691774723
weekend_regular,11,0.27038513276249165,0.044723685358747156,15,0.35983250347998597,0.18093776204499734
weekend_regular,12,0.2650559300578997,0.044890434089962385,15,0.35483679823782444,0.17527506187797492
weekend_regular,13,0.2537910045458521,0.04953861659787991,15,0.3528682377416119,0.15471377135009223
weekend_regular,14,0.24981474210202512,0.048865711070369126,15,0.34754616424276336,0.15208331996128688
weekend_regular,15,0.24406268301273668,0.049155687135593644,15,0.34237405728392395,0.1457513087415494
weekend_regular,16,0.24930892039327127,0.050062157712651226,15,0.3494332358185737,0.14918460496796881
weekend_regular,17,0.2517848636896237,0.04858590356810755,15,0.3489566708258388,0.15461305655340862
weekend_regular,18,0.25110757654273963,0.04571688893959504,15,0.3425413544219297,0.15967379866354955
weekend_regular,19,0.25093936159741376,0.046926931556369234,15,0.3447932247101522,0.1570854984846753
weekend_regular,20,0.25016826534418324,0.05305162029944076,15,0.3562715059430648,0.14406502474530172
weekend_regular,21,0.241604265589981,0.05566700592077626,15,0.3529382774315335,0.1302702537484285
weekend_regular,22,0.23096888627858772,0.053838083450576786,15,0.3386450531797413,0.12329271937743415
weekend_regular,23,0.21723151521037146,0.04804125342232218,15,0.3133140220550158,0.12114900836572709
weekend_special,0,0.17353918699921358,0.0193061246995644,9,0.21215143639834239,0.13492693760008478
weekend_special,1,0.19329441063273903,0.03296580449749175,9,0.2592260196277225,0.12736280163775554
weekend_special,2,0.2169589560556665,0.05441095797433228,9,0.32578087200433103,0.10813704010700195
weekend_special,3,0.2373922639865741,0.07484517561043288,9,0.38708261520743986,0.08770191276570832
weekend_special,4,0.2592841303870848,0.09743657010439431,9,0.4541572705958734,0.06441099017829618
weekend_special,5,0.2717733864684835,0.0983923391519547,9,0.46855806477239287,0.07498870816457409
weekend_special,6,0.2729101265081223,0.0863469400509766,9,0.4456040066100755,0.10021624640616911
weekend_special,7,0.295275450848709,0.08473428398199583,9,0.46474401881270067,0.12580688288471734
weekend_special,8,0.3091110179025854,0.07636088818109306,9,0.46183279426477153,0.15638924154039927
weekend_special,9,0.3240778413541373,0.05579769618715943,9,0.4356732337284562,0.21248244897981844
weekend_special,10,0.3309770426740506,0.04187571882725071,9,0.41472848032855203,0.24722560501954916
weekend_special,11,0.34267539512869233,0.040478676007385465,9,0.4236327471434633,0.2617180431139214
weekend_special,12,0.34034426255243067,0.04555251397399918,9,0.431449290500429,0.2492392346044323
weekend_special,13,0.32650964591611015,0.053113603616408024,9,0.4327368531489262,0.2202824386832941
weekend_special,14,0.32333002218447615,0.06393836789775174,9,0.45120675797997967,0.19545328638897266
weekend_special,15,0.3185599234545007,0.07344127049769371,9,0.4654424644498881,0.17167738245911326
weekend_special,16,0.3142176962383039,0.0672187756974494,9,0.44865524763320275,0.17978014484340513
weekend_special,17,0.31301116245714156,0.05813917120531979,9,0.42928950486778117,0.19673282004650197
weekend_special,18,0.31786032174961537,0.05456945601195142,9,0.4269992337735182,0.20872140972571251
weekend_special,19,0.33204417757725513,0.05831672460249231,9,0.44867762678223977,0.2154107283722705
weekend_special,20,0.32004711606658504,0.04278890622104421,9,0.4056249285086735,0.2344693036244966
weekend_special,21,0.3052748218219629,0.03407521263019458,9,0.3734252470823521,0.23712439656157375
weekend_special,22,0.2932851343390437,0.028567997603375878,9,0.35042112954579546,0.23614913913229194
weekend_special,23,0.28723968078001244,0.03289110033104852,9,0.3530218814421095,0.22145748011791538
